raw_affiliation,DOI
"Servicio de Medicina Interna, Unidad de lípidos y riesgo cardiovascular, Hospital General Universitario de Valencia, Valencia, España.",1
"Servicio de Medicina Interna, Unidad de Lípidos y Arteriosclerosis, Hospital La Paz-Carlos III, Madrid, España",1
"Servicio de Medicina Interna, UCERV, UCAMI, Hospital Virgen del Rocío de Sevilla, Sevilla, España",1
"Servicio de Medicina Interna, Mater Misericordiae University Hospital, Dublín, Irlanda. Servicio de Farmacología Clínica, Hospital Universitario Puerta de Hierro Majadahonda, Instituto de Investigación Sanitaria Segovia de Arana, Madrid, España.",1
"Servicio de Medicina Interna, Hospital Álvaro Cunqueiro, Vigo, Pontevedra, España",1
"Servicio de Medicina Interna, Hospital del Mar, Universidad Autónoma de Barcelona, Barcelona, España",1
"Servicio de Nefrología, Hospital Clínico U. de Salamanca, España",1
"Servicio de Medicina Interna, Hospital Vega Baja, Orihuela (Alicante), Spain",1
"Servicio de Medicina Interna, Hospital Universitario de Reus, Universidad Rovira i Virgili, IISPV, CIBERBEM, Reus, Tarragona, España",1
"Servicio de Medicina Interna, Hospital Universitario de Bellvitge-Idibell, Universidad de Barcelona, CIBEROBN, L' Hospitalet de Llobregat, Barcelona, España",1
"Servicio de Medicina Interna, Hospital Universitario Virgen de la Victoria, Universidad de Málaga, Instituto de Investigación Biomédica de Málaga (IBIMA), Málaga, España",1
"Servicio de Medicina Interna, Hospital Universitario Reina Sofía, IMIBIC, Universidad de Córdoba, CIBEROBN, Córdoba, España",1
"Servicio de Medicina Interna, Hospital Universitario Ramón y Cajal, Madrid, Spain",1
"Servicio de Medicina Interna, Hospital Universitario Miguel Servet, IIS Aragón, CIBERCV, Universidad de Zaragoza, Zaragoza, España",1
"Servicio de Medicina Interna, Hospital Universitario Fundación Alcorcón, Universidad Rey Juan Carlos, Alcorcón, Madrid, España",1
"Servicio de Medicina Interna, Hospital Universitari de Bellvitge, L’Hospitalet de Llobregat (Barcelona), Spain",1
"Servicio de Medicina Interna, Hospital General Universitario de Ciudad Real, Ciudad Real, Spain",1
"Servicio de Medicina Interna, Hospital Clínico Universitario de Valladolid, 47003 Valladolid, Spain",1
"Servicio de Medicina Interna, Hospital Central Universitario Lozano Blesa, Zaragoza, Spain",1
"Servicio de Medicina Interna, Hospital Arquitecto Marcide, Ferrol, A Coruña, España",1
"Servicio de Medicina Interna, Complejo Hospitalario Universitario de Santiago, Santiago de Compostela, A Coruña, España",1
"Servicio de Medicina Intensiva, Parc de Salut Mar, Hospital del Mar, Barcelona, Spain",1
"Servicio de Medicina Interna, Hospital del Mar, Barcelona, España",1
"Servicio de Nefrología, Fundació Puigvert, Barcelona, Spain",1
"Servicio de Nefrología, Complejo Hospitalario Universitario Insular, Las Palmas de Gran Canaria, Spain",1
"Servicio de Nefrología y Unidad de Investigación, Hospital Universitario Nuestra Señora de Candelaria, Santa Cruz de Tenerife, Spain",1
"Servicio de Nefrologia, Hospital del Mar, Barcelona, Spain",1
"Servicio de Nefrologia, Hospital de Cruces, Baracaldo, Vizcaya, Spain",1
"Servicio de Nefrologia, Hospital Universitario Valle Hebrón, Barcelona, Spain",1
"Servicio de Nefrologia, Hospital Reina Sofia, Cordoba, Spain",1
"Servicio de Nefrologia, Hospital Puerta del Mar, Cadiz, Spain",1
"Servicio de Nefrologia, Hospital Marque de Valdecilla, Santander, Cantabria, Spain",1
"Servicio de Nefrologia, Hospital Carlos Haya, Malaga, Spain",1
"Servicio de Microscopía Óptica Avanzada, Centro de Investigación Príncipe Felipe (CIPF), Valencia, Spain",1
"Servicio de Microscopía Electrónica, Centro de Investigación Príncipe Felipe (CIPF), Valencia, Spain",1
"Servicio de Microbiología, Laboratorio de Referencia de Cataluña , Hospital del Mar, Barcelona , Spain",1
"Servicio de Microbiología, Hospital de Bellvitge , Barcelona , Spain",1
"Servicio de Microbiología, Hospital Universitario Vall d`Hebron, Vall d'Hebron Institut de Recerca (VHIR), Departamento de Genética y Microbiología, Universitat Autònoma de Barcelona, CIBERINFEC, Barcelona, España",1
"Servicio de Medicina Preventiva, Instituto de Investigación de Santiago, Área Sanitaria de Santiago de Compostela y Barbanza, Santiago de Compostela, A Coruña, Spain",1
"Servicio de Microbiología, Hospital Universitario Son Espases, IdISBa, CIBERINFEC, Palma de Mallorca, Spain. Electronic address: antonio.oliver@ssib.es.",1
"Servicio de Microbiología, Hospital Universitario Son Espases, IdISBa, CIBERINFEC, Palma de Mallorca, Spain.",1
"Servicio de Microbiología, Hospital Universitario Ramón y Cajal-IRYCIS , Madrid , Spain",1
"Servicio de Microbiología, Hospital Universitario Ramón y Cajal- IRYCIS, CIBERINFEC, Madrid, España",1
"Servicio de Microbiología, Hospital Universitario Ramón y Cajal, Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS), CIBERINFEC, Madrid, Spain.",1
"Servicio de Microbiología, Hospital Universitario Lucus Augusti , Lugo , Spain",1
"Servicio de Microbiología, Hospital Son Espases, Instituto de Investigación Sanitaria Illes Balears (IdISBa), CIBERINFEC, Palma de Mallorca, España",1
"Servicio de Microbiología, Hospital Son Espases, IdISBa , Mallorca , Spain",1
"Servicio de Microbiología, Hospital Santa Creu i San Pau , Barcelona , Spain",1
"Servicio de Microbiología, Hospital Gregorio Marañón , Madrid , Spain",1
"Servicio de Microbiología, Hospital Clínico Lozano Blesa , Zaragoza , Spain",1
"Servicio de Microbiología, Complexo Hospitalario Universitario A Coruña, Instituto Investigación Biomédica A Coruña (INIBIC), CIBERINFEC, A Coruña, España",1
"Servicio de Microbiología, Complexo Hospitalario Universitario A Coruña, Instituto Investigación Biomédica A Coruña (INIBIC),",1
"Servicio de Microbiología Clínica, Facultad de Medicina, Departamento de Biomedicina y Biotecnología, Hospital Universitario Príncipe de Asturias – Universidad de Alcalá, Madrid, Spain",1
"Servicio de Metodología, Calidad y soporte a la Investigación Enfermera, Parc de Salut Mar, Barcelona",1
"Servicio de Microbiología, Hospital Universitario Son Espases, IdISBa, CIBERINFEC, Palma de Mallorca, Spain. Electronic address: carla.lopez@ssib.es.",1
"Servicio de Reumatología, Hospital Fundación Jimenez Díaz, Madrid, España",1
"Servicio de Reumatología, Hospital Clínico Universitario de Valencia, Valencia, Spain.",1
"Servicio de Reumatología, Hospital Clínico Universitario de Valencia, Valencia, España",1
"Servicio de Reumatología, Hospital Clínico San Carlos, Madrid, Spain",1
"Servicio de Reumatología, Complejo Hospitalario Universitario de Vigo, Vigo, Spain, Grupo IRIDIS (Investigation in Rheumatology and Immunemediated Diseases) Instituto de Investigación Sanitaria Galicia Sur (IISGS)",1
"Servicio de Reumatología, Complejo Hospitalario Universitario de Vigo, Vigo, España, Grupo IRIDIS (Investigation in Rheumatology and Immunemediated Diseases) Instituto de Investigación Sanitaria Galicia Sur (IISGS)",1
"Servicio de Reumatología, Complejo Hospitalario Universitario de Santiago, Santiago de Compostela, Spain.",1
"Servicio de Reumatología, Complejo Hospitalario Universitario de Santiago, Santiago de Compostela, España",1
"Servicio de Reumatología, Complejo Hospitalario Universitario A Coruña, A Coruña, Spain.",1
"Servicio de Reumatología, Complejo Hospitalario Universitario A Coruña, A Coruña, España",1
"Servicio de Radioterapia. Hospital Quironsalud Barcelona, Barcelona, España",1
"Servicio de Radiología, Unidad de Neuroradiología, Hospital del Mar, 08003 Barcelona, Spain",1
"Servicio de Radiología, Hospital del Mar, Barcelona, Spain.",1
"Servicio de Radiología, Hospital Xeral, Vigo, Spain.",1
"Servicio de Nefrología, Hospital Universitario Vall d'Hebron, Barcelona, España",1
"Servicio de Radiología, Hospital Universitario Donostia, San Sebastián, Spain. Electronic address: amoraleslezama@gmail.com.",1
"Servicio de Radiología, Hospital Costa del Sol, Marbella, Spain.",1
"Servicio de Radiodiagnóstico, Hospital del Mar, Barcelona, Spain",1
"Servicio de Radiodiagnóstico, Hospital del Mar, Barcelona, España",1
"Servicio de Radiodiagnóstico, Hospital Quirónsalud Barcelona, Barcelona, Spain",1
"Servicio de Radiodiagnóstico, Hospital Clínico San Carlos Clínico, Madrid, Spain",1
"Servicio de Radiodiagnóstico, Hospital Clinic, Barcelona, Spain",1
"Servicio de Radiodiagnóstico, Hospital Clinic, Barcelona, España",1
"Servicio de Patología, Hospital del Mar , 08003 Barcelona , Spain",1
"Servicio de Patología, GRETNHE IMIM Hospital del Mar Research Institute  Barcelona Spain",1
"Servicio de Otorrinolaringología, Hospital Universitario Central de Asturias, Oviedo, Spain",1
"Servicio de Otorrinolaringología, Hospital Clínico Universitario de Valencia, Universitat de València, Valencia, Spain",1
"Servicio de Otorrinolaringología, Hospital Arnau de Vilanova, Valencia, Spain",1
"Servicio de Oncología, Instituto de Investigación Sanitaria Gregorio Marañón, Hospital General Universitario Gregorio Marañón, Madrid, Spain",1
"Servicio de Oncología, Hospital del Mar, Barcelona, España",1
"Servicio de Radiología, Hospital Universitario la Princesa, 28006 Madrid, Spain",1
"Servicio de Reumatología, Hospital Universitario Reina Sofía, Universidad de Córdoba. Instituto Maimónides de Investigación Biomédica de Córdoba (IMIBIC), Córdoba, España",1
"Servicio de Reumatología, Hospital Universitario Reina Sofía, Universidad de Córdoba, Instituto Maimónides de Investigación Biomédica de Córdoba (IMIBIC), Córdoba, Spain.",1
"Servicio de Reumatología, Hospital Universitario Ramón y Cajal, Madrid, Spain",1
"Servicio de Reumatología, Hospital Universitario Ramón y Cajal, Madrid, España",1
"Servicio de Reumatología, Hospital Universitario Príncipe de Asturias, Madrid, Spain",1
"Servicio de Reumatología, Hospital Universitario Príncipe de Asturias, Alcalá de Henares, Spain",1
"Servicio de Reumatología, Hospital Universitario Príncipe de Asturias, Alcalá de Henares, España",1
"Servicio de Reumatología, Hospital Universitario Marqués de Valdecilla, IDIVAL, Santander, Cantabria, Spain",1
"Servicio de Reumatología, Hospital Universitario La Paz, Madrid, Spain",1
"Servicio de Reumatología, Hospital Universitario La Paz, Madrid, España",1
"Servicio de Reumatología, Hospital Universitario Infanta Sofía. Universidad Europea de Madrid, Madrid, Spain",1
"Servicio de Reumatología, Hospital Universitario Infanta Sofía, Universidad Europea, Madrid, Spain",1
"Servicio de Reumatología, Hospital Universitario Infanta Sofía, Universidad Europea, Madrid, España",1
"Servicio de Reumatología, Hospital Universitario HM Sanchinarro, Madrid, Spain.",1
"Servicio de Reumatología, Hospital Universitario HM Sanchinarro, Madrid, España",1
"Servicio de Reumatología, Hospital Fundación Jimenez Díaz, Madrid, Spain",1
"Servicio de Reumatología, Hospital Universitari Son Espases, Palma de Mallorca, Spain",1
"Servicio de Reumatología, Hospital Puerta de Hierro, Madrid, Spain",1
"Servicio de Reumatología, Hospital Puerta de Hierro, Madrid, España",1
"Servicio de Reumatología, Hospital La Princesa, Madrid, Spain",1
"Servicio de Reumatología, Hospital La Princesa, Madrid, España",1
"Servicio de Reumatología, Hospital Infanta Cristina, Badajoz, Spain",1
"Servicio de Reumatología, Hospital Infanta Cristina, Badajoz, España",1
"Servicio de Reumatología, Hospital Germans Trias i Pujol, Barcelona, Spain.",1
"Servicio de Reumatología, Hospital Germans Trias i Pujol, Barcelona, España",1
"Servicio de Reumatología, Hospital General de Granollers, Granollers, Spain.",1
"Servicio de Reumatología, Hospital General de Granollers, Granollers, España",1
"Servicio de Reumatología, Hospital General Universitario de Elda, Elda, Spain",1
"Servicio de Reumatología, Hospital General Universitario de Elda, Elda, España",1
"Servicio de Reumatología, Hospital General Universitario de Alicante, Alicante, Spain",1
"Servicio de Reumatología, Hospital General Universitario de Alicante, Alicante, España",1
"Servicio de Reumatología, Hospital Universitari de Bellvitge, L'Hospitalet de Llobregat, Spain",1
"Servicio de Neumología, Hospital Universitario Central de Asturias, Oviedo, Spain",1
"Servicio de Neumología, Hospital Universitario Central de Asturias, Oviedo, Asturias, Spain",1
"Servicio de Neumología, Hospital Universitario Central de Asturias, Oviedo, Asturias, España",1
"Servicio de Neumología, Hospital Son Espases - Instituto de Investigación Sanitaria de Palma (IdISBa), Universitat de les Illes Balears, Palma de Mallorca, Spain",1
"Servicio de Neumología, Hospital Santa Creu i Sant Pau, Barcelona, España",1
"Servicio de Neumología, Hospital Santa Creu i Sant Pau, 08041 Barcelona, Spain",1
"Servicio de Neumología, Hospital San Carlos, Madrid, España",1
"Servicio de Neumología, Hospital San Agustín, Avilés, Asturias, España",1
"Servicio de Neumología, Hospital San Agustín, Avilés, 33410 Asturias, Spain",1
"Servicio de Neumología, Hospital Regional Universitario de Málaga, Instituto de Investigación Biomédica de Málaga (IBIMA)/Universidad de Málaga, Málaga, España",1
"Servicio de Neumología, Hospital Ramón y Cajal, Madrid, España",1
"Servicio de Neumología, Hospital Ramón y Cajal, 28034 Madrid, Spain",1
"Servicio de Neumología, Hospital Puerta de Hierro, Majadahonda, Madrid, Spain",1
"Servicio de Neumología, Hospital Lucus Augusti, Lugo, España",1
"Servicio de Neumología, Hospital Lucus Augusti, 27003 Lugo, Spain",1
"Servicio de Oncología, Hospital de Sagunto, 46520, Valencia, Spain",1
"Servicio de Neumología, Hospital La Paz, 28046 Madrid, Spain",1
"Servicio de Neumología, Hospital General Universitario Gregorio Marañón, Facultad de Medicina, Universidad Complutense de Madrid, Madrid, España",1
"Servicio de Neumología, Hospital Clínico, Barcelona, España",1
"Servicio de Neumología, Hospital Clínic, IDIBAPS, 08036 Barcelona, Spain",1
"Servicio de Neumología, Hospital Clínic, Barcelona, España",1
"Servicio de Neumología, Hospital 12 de Octubre, Madrid, Spain",1
"Servicio de Neumología, Fundación Jiménez Díaz, Universidad Autónoma de Madrid, Madrid, Spain",1
"Servicio de Neumología, Fundación Jiménez Díaz, Universidad Autónoma de Madrid, Clínica Universidad de Navarra, Madrid, Spain",1
"Servicio de Neumología, Consorci Sanitari Parc Taulí, Universitat Autònoma de Barcelona, Sabadell, Spain",1
"Servicio de Neumología, AIG de Medicina, Hospital de Alta Resolución de Loja, Granada, Spain",1
"Servicio de Neumología e Instituto de Investigación La Fe (IISLAFE), Hospital Universitario y Politécnico La Fe, 46026 Valencia, Spain",1
"Servicio de Nefrología, Hospital del Mar, Parc de Salut Mar, Barcelona, España",1
"Servicio de Nefrología, Hospital Universitario de Getafe, Madrid, Spain",1
"Servicio de Nefrología, Hospital Universitario de Cabueñes, Gijón, Spain",1
"Servicio de Nefrología, Hospital Universitario Virgen Macarena, Sevilla, Spain",1
"Servicio de Neumología, Hospital La Paz, Madrid, España",1
"Servicio de Oncología, Hospital de Mataró, Consorci Sanitari del Maresme, Mataró (Barcelona), España",1
"Servicio de Oncología, Hospital Duran i Reynals, Institut Català d'Oncologia, L'Hospitalet de Llobregat (Barcelona), España",1
"Servicio de Oncología Radioterápica, Hospital Quirónsalud Barcelona, Barcelona, Spain",1
"Servicio de Oncología Médica y Grupo de Oncología Médica Traslacional, Hospital Clínico Universitario e Instituto de Investigación Sanitaria-CIBERONC, Santiago de Compostela, Spain",1
"Servicio de Oncologia Médica, Hospital Universitario Son Dureta, Palma de Mallorca, Spain",1
"Servicio de Oftalmología, Hospital General Universitario de Valencia, Valencia, Spain",1
"Servicio de Neuropediatría, Hospital Universitario La Paz, Madrid, Spain",1
"Servicio de Neuropediatría, Hospital Universitario Central de Asturias, Oviedo (Asturias), Spain",1
"Servicio de Neurología, Hospital del Mar-Parc de Salut Mar. IMIM, Passeig Marítim de la Barceloneta 25, 08003 Barcelona, Spain",1
"Servicio de Neurología, Hospital del Mar-Parc de Salut Mar, IMIM, Barcelona, Spain",1
"Servicio de Neurología, Hospital del Mar, Parc de Salut Mar, Barcelona, Spain",1
"Servicio de Neurología, Hospital del Mar, Barcelona, Spain.",1
"Servicio de Neurología, Clínica Universidad de Navarra, Pamplona, Spain",1
"Servicio de Neurología, Clínica Universidad de Navarra, Pamplona, España",1
"Servicio de Neurofisiología, Hospital del Mar, Parc de Salut Mar, Barcelona, Spain",1
"Servicio de Neumología, Hospital Universitario Son Espases, IdISBa, Palma de Mallorca, Spain.",1
"Servicio de Neumología, Instituto de investigación biosanitaria del Principado de Asturias (ISPA), 33011 Oviedo, Spain",1
"Servicio de Neumología, Instituto de Investigación Sanitaria, Hospital Universitario de la Princesa, Madrid, España",1
"Servicio de Neumología, Instituto de Investigación Sanitaria, Hospital Universitario de la Princesa, 28006 Madrid, Spain",1
"Servicio de Neumología, Instituto de Investigación Biomédica de Málaga (IBIMA), Hospital Regional Universitario de Málaga, Universidad de Málaga, 29010 Málaga, Spain",1
"Servicio de Neumología, Instituto de Investigación Biomédica de A Coruña (INIBIC), Complejo Hospitalario Universitario de A Coruña (CHUAC) Sergas Universidade da Coruña (UDC), A Coruña, Spain.",1
"Servicio de Neumología, Instituto de Investigación (IdISSC), Hospital Clínico San Carlos, Departamento de Medicina, Facultad de Medicina, Universidad Complutense de Madrid, Madrid, Spain",1
"Servicio de Neumología, Hospital del Mar-IMIM, UPF, CIBERES, Barcelona, España",1
"Servicio de Neumología, Hospital del Mar-IMIM, UPF, CIBERES, 08003 Barcelona, Spain",1
"Servicio de Neumología, Hospital del Mar, Cataluña, Spain",1
"Servicio de Neumología, Hospital del Mar, Cataluña, España",1
"Servicio de Neumología, Hospital del Mar, Barcelona, España",1
"Servicio de Neumología, Hospital Universitario y Politécnico La Fe, Valencia, España",1
"Servicio de Neumología, Hospital Universitario de Salamanca. Instituto de Investigación Biomédica de Salamanca (IBSAL). Departamento de Medicina, Universidad de Salamanca, Salamanca, España",1
"Servicio de Neumología, Hospital Universitario Virgen Macarena, Sevilla, Spain",1
"Servicio de Neumología, Hospital Universitario Virgen Macarena, Sevilla, España",1
"Servicio de Neurocirugía, Hospital del Mar, Parc de Salut Mar, Barcelona, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario Virgen de las Nieves, Granada, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Virgen Macarena, Sevilla, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario Virgen Macarena, Sevilla, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Santiago de Compostela, Santiago de Compostela, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Sagrat Cor, Barcelona, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Ramón y Cajal. Madrid, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Ramón y Cajal, Madrid, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Quironsalud Madrid, Madrid, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Puerta de Hierro Majadahonda. Madrid, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Puerta de Hierro Majadahonda, Madrid, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario Miguel Servet y Hospital Clínico Universitario Lozano Blesa, IIS Aragón, Zaragoza, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Marqués de Valdecilla, Santander, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario La Ribera, Alcira, Valencia, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Gregorio Marañón, Madrid, España",1
"Servicio de Medicina Intensiva, Parc de Salut Mar, Hospital del Mar, Barcelona, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Donostia, Instituto de Investigación Sanitaria Biodonostia, San Sebastián-Donostia, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario Cruces, Bilbao, España",1
"Servicio de Cirugía Torácica, Hospital Universitario Clínico San Carlos, Madrid, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario 12 de Octubre, Madrid, España",1
"Servicio de Cirugía Torácica, Hospital Universitari Mútua Terrassa, Universidad de Barcelona, Terrassa, Barcelona, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitari Mútua Terrassa, Universidad de Barcelona, Terrassa, Barcelona, España",1
"Servicio de Cirugía Torácica, Hospital Universitari Arnau de Vilanova, Lleida, España",1
"Servicio de Cirugía Torácica, Hospital Santa Creu y Sant Pau, Universidad Autónoma de Barcelona, Barcelona, España",1
"Servicio de Cirugía Torácica, Hospital Regional Universitario, Málaga, España",1
"Servicio de Cirugía Torácica, Hospital Puerta del Mar, Cádiz, España",1
"Servicio de Cirugía Torácica, Hospital General Universitario de Alicante, Alicante, Spain",1
"Servicio de Cirugía Torácica, Hospital General Universitario de Alicante, Alicante, España",1
"Servicio de Cirugía Torácica, Hospital General Universitario Gregorio Marañón, Madrid, España",1
"Servicio de Cirugía Torácica, Hospital Clínico Universitario, Valladolid, España",1
"Servicio de Cirugía Torácica, Hospital Clínico Universitario de Valladolid, Valladolid, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario General de Alicante, Alicante, Spain",1
"Servicio de Dermatología, Hospital Rey Juan Carlos, Madrid, España",1
"Servicio de Dermatología, Hospital Infanta Leonor, Madrid, Spain",1
"Servicio de Dermatología, Hospital General de Alicante, Alicante, España",1
"Servicio de Dermatología, Hospital General Universitario Jose Mª Morales Meseguer, Murcia, España",1
"Servicio de Dermatología, Hospital Fundación Jiménez Díaz, Madrid, España",1
"Servicio de Dermatología, Hospital Clínico Universitario de Valencia, Universidad de Valencia, Valencia, España",1
"Servicio de Dermatología, Complejo Hospitalario de Toledo, Toledo, Spain",1
"Servicio de Dermatología, Complejo Hospitalario de Navarra  Pamplona Navarra Spain",1
"Servicio de Dermatología, Complejo Hospitalario Universitario de Toledo, Toledo, España",1
"Servicio de Dermatología, Complejo Asistencial Universitario de León, León, Madrid, España",1
"Servicio de Dermatología del Hospital Universitari Germans Trias i Pujol, Spain",1
"Servicio de Dermatología del Hospital General Universitario Morales Meseguer, Spain",1
"Servicio de Dermatología del Complejo Hospitalario Universitario Insular. Universidad de Las Palmas de Gran Canaria, Spain",1
"Servicio de Dermatología Hospital del Mar-Parc de Salut Mar, Barcelona, Spain",1
"Servicio de Cirugía, Hospital del Mar, Departamento de Cirugía, Universitat Autònoma de Barcelona, Barcelona, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario Virgen del Rocío, Sevilla, España",1
"Servicio de Cirugía, Hospital Universitario de Guadalajara, Guadalajara, España",1
"Servicio de Cirugía, Hospital Universitario de Alicante, Alicante, España",1
"Servicio de Cirugía Torácica, Instituto Valenciano de Oncología, Valencia, Spain",1
"Servicio de Cirugía Torácica, Hospital del Mar, Barcelona, Spain",1
"Servicio de Cirugía Torácica, Hospital Virgen de las Nieves, Granada, España",1
"Servicio de Cirugía Torácica, Hospital Virgen de la Macarena, Sevilla, España",1
"Servicio de Cirugía Torácica, Hospital Universitario de la Ribera, Alzira, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario de la Princesa, Madrid, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario de Salamanca, Universidad de Salamanca, IBSAL, Salamanca, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario de Salamanca, Universidad de Salamanca, IBSAL, Salamanca, España",1
"Servicio de Cirugía Torácica, Hospital Universitario de Donostia, San Sebastián-Donostia, Spain",1
"Servicio de Cirugía Torácica, Hospital Universitario de Donostia, San Sebastián-Donostia, España",1
"Servicio de Cirugía Torácica, Hospital Universitario de Bellvitge, Hospitalet de Llobregat, Barcelona, España",1
"Servicio de Cirugía Torácica, Hospital Universitario de Badajoz, Badajoz, España",1
"Servicio de Cirugía Torácica, Hospital Universitario de Albacete, Albacete, España",1
"Servicio de Cirugía, Hospital del Mar, Barcelona, España",1
"Servicio de Cardiología, Hospital del Mar-Parc de Salut Mar, Grupo de Investigación Biomédica en Enfermedades del Corazón, IMIM, Barcelona, Spain",1
"Servicio de Cardiología, Hospital del Mar, Grupo de Investigación Biomédica en Enfermedades del Corazón, Instituto Hospital del Mar de Investigaciones Médica (IMIM), Barcelona, Spain",1
"Servicio de Cardiología, Hospital del Mar, Grupo de Investigación Biomédica en Enfermedades del Corazón, IMIM, Barcelona, Spain",1
"Servicio de Cardiología, Hospital del Mar, Barcelona, Spain.",1
"Servicio de Cardiología, Hospital del Mar, Barcelona, España.",1
"Servicio de Cardiología, Hospital del Mar – Parc de Salut Mar, Barcelona, Grupo de Investigación Biomédica en Enfermedades del Corazón, IMIM (Instituto Hospital del Mar de Investigaciones Médicas), Barcelona, Spain",1
"Servicio de Cardiología, Hospital del Mar , Barcelona , Spain",1
"Servicio de Cardiología, Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",1
"Servicio de Cardiología, Hospital de la Santa Creu i Sant Pau , Barcelona , Spain",1
"Servicio de Cardiología, Hospital de la Santa Creu I Sant Pau, Barcelona, Spain",1
"Servicio de Cardiología, Hospital de La Princesa, Madrid, Spain",1
"Servicio de Cardiología, Hospital de Ciudad Real, Ciudad Real, Spain",1
"Servicio de Cardiología, Hospital de Cabueñes, Gijón, Asturias, Spain",1
"Servicio de Cardiología, Hospital de Bellvitge, L´Hospitalet de Llobregat, Barcelona, España.",1
"Servicio de Cardiología, Hospital de Bellvitge, L'Hospitalet de Llobregat, Barcelona, Spain.",1
"Servicio de Cirugía Torácica, Hospital Clínico San Carlos, Madrid, España",1
"Servicio de Cardiología, Hospital Virgen de las Nieves, Granada, España.",1
"Servicio de Cardiología, Hospital Virgen de la Arrixaca, El Palmar, Murcia, Spain",1
"Servicio de Cardiología, Hospital Universitario de la Princesa, Madrid, Spain.",1
"Servicio de Cardiología, Hospital Universitario de León, León, Spain.",1
"Servicio de Cardiología, Hospital Universitario de León, León, España.",1
"Servicio de Cardiología, Hospital Universitario de La Princesa, Universidad Autónoma de Madrid, IIS-IP, Madrid, Spain",1
"Servicio de Cardiología, Hospital Universitario de La Princesa, Madrid, España.",1
"Servicio de Cardiología, Hospital Universitario de La Princesa, IIS-IP, Universidad Autónoma de Madrid, CIBERCV , Madrid , Spain",1
"Servicio de Cardiología, Hospital Universitario de La Princesa, Centro de Investigación Biomédica en Red de Enfermedades Cardiovasculares (CIBERCV), Madrid, Spain",1
"Servicio de Cardiología, Hospital Universitario de La Paz , Madrid , Spain",1
"Servicio de Cardiología, Hospital Universitario de Cabueñes, Gijón, Asturias, Spain",1
"Servicio de Cardiología, Hospital Universitario de Cabueñes, Gijón, Asturias, España",1
"Servicio de Cardiología, Hospital Universitario de Cabueñes , Gijón , Spain",1
"Servicio de Cardiología, Hospital Universitario de Bellvitge, Barcelona, España",1
"Servicio de Cardiología, Hospital Universitario de Basurto, Bilbao, Vizcaya, Spain.",1
"Servicio de Cardiología, Hospital Virgen de las Nieves, Granada, Spain.",1
"Servicio de Cirugía Torácica, Hospital Clínic, Barcelona, España",1
"Servicio de Cirugía Torácica, Hospital Clinic de Barcelona, Instituto Respiratorio, Universidad de Barcelona, Barcelona, Spain",1
"Servicio de Cirugía Torácica, Hospital Clinic de Barcelona, Instituto Respiratorio, Universidad de Barcelona, Barcelona, España",1
"Servicio de Cirugía Torácica, Hospital Clinic de Barcelona, Barcelona, Spain",1
"Servicio de Cirugía Torácica, Hospital Arnau de Vilanova, Lleida, España",1
"Servicio de Cirugía Torácica, Fundación Instituto Valenciano de Oncología, Valencia, Spain",1
"Servicio de Cirugía Torácica, Fundación Instituto Valenciano de Oncología, Valencia, España",1
"Servicio de Cirugía Torácica, Complejo Hospitalario de Navarra, Pamplona, España",1
"Servicio de Cirugía Torácica, Complejo Asistencial Universitario de Salamanca (CAUS), Instituto de Investigación Biomédica de Salamanca (IBSAL), Salamanca, España",1
"Servicio de Cirugía Torácica, Clínica Universidad de Navarra, Madrid, España",1
"Servicio de Cirugía General, Hospital Universitario La Paz, Madrid, España",1
"Servicio de Cirugía General, Hospital General de Granollers, Universitat Internacional de Catalunya, Barcelona, España",1
"Servicio de Cirugía General y Digestiva, Hospital del Mar, Barcelona, Spain",1
"Servicio de Cirugía General y Digestiva, Hospital Sant Joan Despí Moises Broggi, Sant Joan Despí, Barcelona, Spain",1
"Servicio de Cirugía General y Aparato Digestivo, Hospital del Mar de Barcelona, Spain",1
